Relation|RowGroup|Column|uncompressed|bb_compressed|c3_compressed|compression_ratio_improvement|bb_cr|c3_cr|datatype|C3_source_target|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
CMSprovider_1|0|15_NPPES_PROVIDER_COUNTRY|393218|34926|545|64.0844|11.2586|721.501|string|target|Dict_1to1|7|14|31.838613|11.261506|31.838613|4321.076923|0|34826|-1|-1|1|9|0|49|8|416|0.942308|16|16|0.250000|55|74|0.783784|-1.000000|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|9||7|14
CMSprovider_1|0|16_NPPES_PROVIDER_GENDER|327580|10661|10685|0.997754|30.7269|30.6579|string|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|17_NPPES_PROVIDER_STATE|393218|33512|20799|1.61123|11.7336|18.9056|string|target|Dict_1toN|7|16|31.838613|11.736800|31.838613|15.440902|0|8037|BP|-1|1|58|-1|-1|-1|-1|-1.000000|348|368|0.956522|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|25092|20393|8|20|-1|-1||7|16
CMSprovider_1|0|18_NPPES_PROVIDER_STREET1|1417689|269587|232038|1.16182|5.25874|6.10973|string|target|Dict_1to1|19|17|2.013379|5.258919|2.013379|7.230746|0|73514|-1|-1|6757|7285|1002|5490|8016|43944|0.999454|27040|27040|0.999556|160996|161015|0.999901|-1.000000|-1|-1|-1|-1|18|1|-1|-1|-1|-1|-1|9||19|17
CMSprovider_1|0|19_NPPES_PROVIDER_STREET2|574745|152459|141994|1.0737|3.76983|4.04767|string|target|Dict_1toN|7|18|31.838613|3.984367|31.838613|7.218873|0|64633|-1|-1|1|2535|-1|-1|-1|-1|-1.000000|46919|46939|0.999659|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|38889|32672|95017|8|20|-1|-1||7|18
CMSprovider_1|0|20_NPPES_PROVIDER_ZIP|262144|130225|128253|1.01538|2.01301|2.04396|integer|source|Dict_1to1|19|17|2.013379|5.258919|2.013379|7.230746|0|73514|-1|-1|6757|7285|1002|5490|8016|43944|0.999454|27040|27040|0.999556|160996|161015|0.999901|-1.000000|-1|-1|-1|-1|18|1|-1|-1|-1|-1|-1|9||19|17
CMSprovider_1|0|21_Number of Records|262144|4|28|0.142857|65536|9362.29|integer|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|22_PLACE_OF_SERVICE|327683|10822|2640|4.09924|30.2793|124.122|string|source|Dict_1to1|21|9|30.304541|18.203600|30.304541|199.441875|0|16358|BP|-1|2|2|200|188|1600|1528|0.984293|20|20|0.400000|11|30|0.466667|-1.000000|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|9||21|9
CMSprovider_1|0|23_PROVIDER_TYPE|1308794|45448|39126|1.16158|28.7976|33.4507|string|source|Dict_1to1|22|12|28.803319|31.773781|28.803319|978.158209|0|9978|BP|-1|73|2|0|43|8|368|0.934783|304|304|0.960526|11|30|0.466667|-1.000000|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|9||22|12
CMSprovider_1|0|24_STDEV_MEDICARE_ALLOWED_AMT|524288|171183|171207|0.99986|3.06273|3.0623|double|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|25_STDEV_MEDICARE_PAYMENT_AMT|524288|508599|508623|0.999953|1.03085|1.0308|double|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|26_STDEV_SUBMITTED_CHRG_AMT|524288|249175|249199|0.999904|2.1041|2.10389|double|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|1_Number of Records|262144|4|28|0.142857|65536|9362.29|integer|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|2_a_aid_acontid_agencyid|524292|62986|4982|12.6427|8.32395|105.237|string|target|Dict_1to1|12|1|47.815146|8.323813|47.815146|162.975443|0|59769|-1|-1|136|131|200|413|1600|3328|0.992788|556|556|0.978417|1049|1068|0.985019|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0||12|1
CommonGovernment_1|0|3_a_aid_acontid_piid|966447|529121|529145|0.999955|1.82651|1.82643|string|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|4_ag_name|3538948|40481|26971|1.50091|87.4224|131.213|string|source|Dict_1to1|3|4|87.422445|9.609247|87.422445|947.518072|0|40506|BP|-1|39|39|0|0|0|-1|-1.000000|168|168|0.928571|235|254|0.937008|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0||3|4
CommonGovernment_1|0|5_agency_code|393220|40921|452|90.5332|9.60925|869.956|string|target|Dict_1to1|3|4|87.422445|9.609247|87.422445|947.518072|0|40506|BP|-1|39|39|0|0|0|-1|-1.000000|168|168|0.928571|235|254|0.937008|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0||3|4
CommonGovernment_1|0|6_ase_rowid|262144|155296|177216|0.876309|1.68803|1.47923|integer|target|DFOR|14|5|20.122571|1.688028|20.122571|3.309857|0|76095|-1|BP|1486|45732|-1|-1|-1|-1|-1.000000|5945|5956|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|7068446|1|0|73256|171244|-1|-1|-1|-1||14|5
CommonGovernment_1|0|7_award_type|1163451|14291|155427|0.0919467|81.4114|7.48551|string|source|Dict_Sharing|6|52|81.411448|3.287513|7.284818|9.402352|-145418|166881|-1|-1|5|11231|-1|-1|-1|-1|-1.000000|145518|143434|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|89720|113264|-1|-1|-1|-1||6|52
CommonGovernment_1|0|8_award_type_code|327684|14228|107|132.972|23.0309|3062.47|string|target|Dict_1to1|13|7|23.030925|23.030925|23.030925|4681.200000|0|14158|BP|-1|5|5|0|0|0|-1|-1.000000|32|32|0.625000|26|45|0.644444|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0||13|7
CommonGovernment_1|0|9_award_type_key|262144|214|238|0.89916|1224.97|1101.45|integer|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|10_baseandalloptionsvalue|524288|286405|286429|0.999916|1.83058|1.83043|double|source|Equality|9|10|1.830583|1.779365|1.830583|8.466019|0|232720|PSEUDODECIMAL|-1|33920|35778|4809|5480|309|65784|0.999635|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0||9|10
